"stage","check","result","observed","expected"
"STEP57G","STEP57G RDS exists",TRUE,"C:/TNBC_Spatial_Data/GSE210616/results/STEP_57G_HISTORICAL_LR_META_ANALYSIS/STEP57G_HISTORICAL_AUTHOR_LR_META_ANALYSIS.rds","TRUE"
"STEP57G","STEP57G table recovered",TRUE,"data.frame","data.frame"
"STEP57G","STEP57G expected 10567 rows",TRUE,"10567","10567"
"STEP57G","STEP57G expected 84 branch-niche analyses",TRUE,"84","84"
"STEP57H","STEP57H RDS exists",TRUE,"C:/TNBC_Spatial_Data/GSE210616/results/STEP_57H_HISTORICAL_LR_META_VALIDATION/STEP57H_LR_CANDIDATES_ALL_THREE_CRITERIA.rds","TRUE"
"STEP57H","STEP57H candidate table recovered",TRUE,"data.frame","data.frame"
"STEP57H","STEP57H expected 22 candidates",TRUE,"22","22"
"STEP57L","STEP57L RDS exists",TRUE,"C:/TNBC_Spatial_Data/GSE210616/results/STEP_57L_LR_PATHWAY_CHARACTERIZATION/STEP57L_COMPLETE_LR_PATHWAY_CHARACTERIZATION.rds","TRUE"
"STEP57L","STEP57L table recovered",TRUE,"22","non-empty"
"STEP57L","STEP57L expected 22 LR evidence rows",TRUE,"22","22"
"STEP58E","STEP58E manifest recovered",TRUE,"73","non-empty"
"STEP58E","Expected 73 eligible comparisons",TRUE,"73","73"
"STEP58E","MLCP comparisons = 14",TRUE,"14","14"
"STEP58E","SLCP comparisons = 59",TRUE,"59","59"
"STEP58G","STEP58G RDS files found",TRUE,"1",">0"
"STEP58G","STEP58G production comparison table recovered",TRUE,"73","non-empty"
"STEP59","STEP59 output recovered",TRUE,"157713","non-empty"
"STEP59","Expected 157713 NCDEG rows",TRUE,"157713","157713"
"STEP59","Expected 3625 unique genes",TRUE,"3625","3625"
"STEP60B","STEP60B output recovered",TRUE,"70587","non-empty"
"STEP60B","Expected 70587 meta-analysis rows",TRUE,"70587","70587"
"STEP60B","Expected 3625 unique genes",TRUE,"3625","3625"
"STEP60B","Expected 29 analysis groups",TRUE,"29","29"
"STEP60E","STEP60E output recovered",TRUE,"56512","non-empty"
"STEP60E","Expected 56512 final NCDEG rows",TRUE,"56512","56512"
"STEP60E","Expected 3597 unique genes",TRUE,"3597","3597"
"STEP60H","STEP60H output recovered",TRUE,"56512","non-empty"
"STEP60H","Expected 56512 final NCDEG rows",TRUE,"56512","56512"
"STEP60H","Expected 3597 unique genes",TRUE,"3597","3597"
"STEP61B","STEP61B enrichment recovered",TRUE,"1228","non-empty"
"STEP61B","Expected 1228 enrichment rows",TRUE,"1228","1228"
"STEP61B","Expected 68 unique terms",TRUE,"68","68"
"STEP61B","Expected 29 branch-niche groups",TRUE,"29","29"
"STEP61D","STEP61D output recovered",TRUE,"1228","non-empty"
"STEP61D","Expected 1228 enrichment rows",TRUE,"1228","1228"
"STEP61E","STEP61E output recovered",TRUE,"1228","non-empty"
"STEP61E","Expected 1228 enrichment rows",TRUE,"1228","1228"
"STEP61E","Expected 68 unique enrichment terms",TRUE,"68","68"
"STEP61F","STEP61F output recovered",TRUE,"YES","YES"
"STEP61G-A","STEP61G-A output recovered",TRUE,"YES","YES"
"STEP61G-B","STEP61G-B output recovered",TRUE,"YES","YES"
"STEP61G-C","STEP61G-C output recovered",TRUE,"YES","YES"
"STEP62A1","STEP62A1 output recovered",TRUE,"YES","YES"
"STEP62A2","STEP62A2 output recovered",TRUE,"YES","YES"
"STEP62B","STEP62B integration output recovered",TRUE,"10052","non-empty"
"STEP62B","Expected 10052 integration rows",TRUE,"10052","10052"
"CROSS-STAGE","STEP60E and STEP60H row counts identical",TRUE,"56512 vs 56512","identical"
"CROSS-STAGE","STEP60E and STEP60H gene sets identical",TRUE,"IDENTICAL","IDENTICAL"
"CROSS-STAGE","STEP61B/D/E all contain 1228 enrichment rows",TRUE,"1228 / 1228 / 1228","1228 / 1228 / 1228"
"CROSS-STAGE","STEP61B and STEP61E term sets identical",TRUE,"IDENTICAL","IDENTICAL"
"CROSS-STAGE","Enrichment contains 29 branch-niche groups",TRUE,"29","29"
